image_path,label,forgery_type,resolution,paired_fake,forgery_method
data/ff_plus_plus/train/Real/506_f230.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/506_478_f230.jpg,Deepfakes
data/ff_plus_plus/train/Real/967_f382.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/967_984_f382.jpg,Deepfakes
data/ff_plus_plus/train/Real/648_f243.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/648_654_f243.jpg,Deepfakes
data/ff_plus_plus/train/Real/600_f146.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/600_505_f146.jpg,Deepfakes
data/ff_plus_plus/train/Real/536_f311.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/536_540_f311.jpg,Deepfakes
data/ff_plus_plus/train/Real/740_f35.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/740_796_f35.jpg,Deepfakes
data/ff_plus_plus/train/Real/788_f202.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/788_710_f202.jpg,Deepfakes
data/ff_plus_plus/train/Real/536_f186.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/536_540_f186.jpg,Deepfakes
data/ff_plus_plus/train/Real/154_f245.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/154_386_f245.jpg,Deepfakes
data/ff_plus_plus/train/Real/372_f50.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/372_413_f50.jpg,Deepfakes
data/ff_plus_plus/train/Real/605_f137.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/605_591_f137.jpg,Deepfakes
data/ff_plus_plus/train/Real/764_f63.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/764_850_f63.jpg,Deepfakes
data/ff_plus_plus/train/Real/649_f320.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/649_816_f320.jpg,Deepfakes
data/ff_plus_plus/train/Real/979_f69.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/979_875_f69.jpg,Deepfakes
data/ff_plus_plus/train/Real/596_f95.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/596_609_f95.jpg,Deepfakes
data/ff_plus_plus/train/Real/423_f250.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/423_421_f250.jpg,Deepfakes
data/ff_plus_plus/train/Real/085_f90.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/085_124_f90.jpg,Deepfakes
data/ff_plus_plus/train/Real/875_f348.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/875_979_f348.jpg,Deepfakes
data/ff_plus_plus/train/Real/233_f255.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/233_995_f255.jpg,Deepfakes
data/ff_plus_plus/train/Real/175_f190.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/175_159_f190.jpg,Deepfakes
data/ff_plus_plus/train/Real/884_f58.jpg,0,Real,,data/ff_plus_plus/train/Fake/Deepfakes/884_968_f58.jpg,Deepfakes
