identity_id,image_path,cosine_sim,asr,ssim,psnr
Ahmed_Chalabi,results/phase2/robustness/jpeg75/Ahmed_Chalabi_0005_cloaked.png,0.164672,1,0.934079,34.4541
Al_Gore,results/phase2/robustness/jpeg75/Al_Gore_0002_cloaked.png,0.000488,1,0.917767,36.0961
Al_Gore,results/phase2/robustness/jpeg75/Al_Gore_0007_cloaked.png,0.146350,1,0.931148,35.6482
Al_Gore,results/phase2/robustness/jpeg75/Al_Gore_0008_cloaked.png,0.023592,1,0.926894,35.9398
Alastair_Campbell,results/phase2/robustness/jpeg75/Alastair_Campbell_0004_cloaked.png,-0.003038,1,0.927526,35.8509
Alastair_Campbell,results/phase2/robustness/jpeg75/Alastair_Campbell_0005_cloaked.png,-0.032168,1,0.949432,36.3444
Angela_Bassett,results/phase2/robustness/jpeg75/Angela_Bassett_0004_cloaked.png,0.011714,1,0.953076,35.5596
Antonio_Palocci,results/phase2/robustness/jpeg75/Antonio_Palocci_0003_cloaked.png,0.458032,0,0.946829,35.8926
Ari_Fleischer,results/phase2/robustness/jpeg75/Ari_Fleischer_0005_cloaked.png,0.162434,1,0.929185,35.8117
Arnold_Schwarzenegger,results/phase2/robustness/jpeg75/Arnold_Schwarzenegger_0039_cloaked.png,0.306003,0,0.928906,35.6814
Benazir_Bhutto,results/phase2/robustness/jpeg75/Benazir_Bhutto_0001_cloaked.png,-0.131910,1,0.921492,34.9767
Benazir_Bhutto,results/phase2/robustness/jpeg75/Benazir_Bhutto_0002_cloaked.png,-0.058140,1,0.929483,35.7947
Bertie_Ahern,results/phase2/robustness/jpeg75/Bertie_Ahern_0005_cloaked.png,-0.062883,1,0.938823,36.0449
Bill_Clinton,results/phase2/robustness/jpeg75/Bill_Clinton_0014_cloaked.png,0.254111,1,0.943856,34.5114
Bill_Clinton,results/phase2/robustness/jpeg75/Bill_Clinton_0017_cloaked.png,-0.081385,1,0.922308,35.8900
Bill_Frist,results/phase2/robustness/jpeg75/Bill_Frist_0002_cloaked.png,0.148081,1,0.948777,36.9099
Bill_Frist,results/phase2/robustness/jpeg75/Bill_Frist_0003_cloaked.png,0.100929,1,0.937721,36.2079
Bill_Simon,results/phase2/robustness/jpeg75/Bill_Simon_0004_cloaked.png,0.214861,1,0.932690,34.6740
Binyamin_Ben-Eliezer,results/phase2/robustness/jpeg75/Binyamin_Ben-Eliezer_0003_cloaked.png,0.302337,0,0.939387,35.0037
Binyamin_Ben-Eliezer,results/phase2/robustness/jpeg75/Binyamin_Ben-Eliezer_0006_cloaked.png,0.255004,1,0.933188,35.3859
Bob_Stoops,results/phase2/robustness/jpeg75/Bob_Stoops_0002_cloaked.png,0.148647,1,0.928828,35.2581
Bob_Stoops,results/phase2/robustness/jpeg75/Bob_Stoops_0003_cloaked.png,0.002705,1,0.922867,35.5494
Bob_Stoops,results/phase2/robustness/jpeg75/Bob_Stoops_0005_cloaked.png,-0.142599,1,0.918838,35.3327
Carrie-Anne_Moss,results/phase2/robustness/jpeg75/Carrie-Anne_Moss_0001_cloaked.png,0.012096,1,0.945185,36.3916
Carrie-Anne_Moss,results/phase2/robustness/jpeg75/Carrie-Anne_Moss_0003_cloaked.png,-0.021181,1,0.958782,37.4919
Carrie-Anne_Moss,results/phase2/robustness/jpeg75/Carrie-Anne_Moss_0005_cloaked.png,-0.185224,1,0.933355,34.9047
Celine_Dion,results/phase2/robustness/jpeg75/Celine_Dion_0007_cloaked.png,0.228972,1,0.955976,36.0380
Celine_Dion,results/phase2/robustness/jpeg75/Celine_Dion_0008_cloaked.png,-0.050199,1,0.954549,36.2242
Chanda_Rubin,results/phase2/robustness/jpeg75/Chanda_Rubin_0004_cloaked.png,0.050002,1,0.945120,35.7560
Chanda_Rubin,results/phase2/robustness/jpeg75/Chanda_Rubin_0005_cloaked.png,0.315459,0,0.942092,36.0890
Charles_Taylor,results/phase2/robustness/jpeg75/Charles_Taylor_0004_cloaked.png,-0.081284,1,0.945443,34.9360
Charles_Taylor,results/phase2/robustness/jpeg75/Charles_Taylor_0006_cloaked.png,-0.122548,1,0.941356,34.0080
Choi_Sung-hong,results/phase2/robustness/jpeg75/Choi_Sung-hong_0005_cloaked.png,0.228504,1,0.942388,36.4226
Claudia_Pechstein,results/phase2/robustness/jpeg75/Claudia_Pechstein_0003_cloaked.png,-0.158764,1,0.936900,35.8137
Claudia_Pechstein,results/phase2/robustness/jpeg75/Claudia_Pechstein_0004_cloaked.png,-0.184547,1,0.950153,35.7165
Clint_Eastwood,results/phase2/robustness/jpeg75/Clint_Eastwood_0002_cloaked.png,-0.190185,1,0.932043,36.6689
David_Beckham,results/phase2/robustness/jpeg75/David_Beckham_0014_cloaked.png,0.105418,1,0.927524,34.4205
David_Beckham,results/phase2/robustness/jpeg75/David_Beckham_0015_cloaked.png,-0.222127,1,0.915727,34.9730
Dennis_Hastert,results/phase2/robustness/jpeg75/Dennis_Hastert_0003_cloaked.png,0.372590,0,0.955971,36.2536
Dennis_Hastert,results/phase2/robustness/jpeg75/Dennis_Hastert_0006_cloaked.png,0.256013,1,0.962476,36.8055
Diana_Krall,results/phase2/robustness/jpeg75/Diana_Krall_0002_cloaked.png,0.079205,1,0.944853,35.8965
Dick_Cheney,results/phase2/robustness/jpeg75/Dick_Cheney_0002_cloaked.png,0.090844,1,0.933445,35.4384
Dick_Cheney,results/phase2/robustness/jpeg75/Dick_Cheney_0013_cloaked.png,-0.199672,1,0.933586,34.9145
Edmund_Stoiber,results/phase2/robustness/jpeg75/Edmund_Stoiber_0001_cloaked.png,-0.177106,1,0.914842,35.0098
Edmund_Stoiber,results/phase2/robustness/jpeg75/Edmund_Stoiber_0009_cloaked.png,0.155625,1,0.934006,35.2869
Eduard_Shevardnadze,results/phase2/robustness/jpeg75/Eduard_Shevardnadze_0001_cloaked.png,0.176577,1,0.931508,33.8296
Eduard_Shevardnadze,results/phase2/robustness/jpeg75/Eduard_Shevardnadze_0003_cloaked.png,0.630634,0,0.922388,35.2677
Edward_Lu,results/phase2/robustness/jpeg75/Edward_Lu_0005_cloaked.png,0.090698,1,0.938869,36.0250
Edward_Lu,results/phase2/robustness/jpeg75/Edward_Lu_0006_cloaked.png,0.265504,1,0.935176,35.6120
Elizabeth_Hurley,results/phase2/robustness/jpeg75/Elizabeth_Hurley_0002_cloaked.png,-0.068917,1,0.940503,36.2414
Fernando_Henrique_Cardoso,results/phase2/robustness/jpeg75/Fernando_Henrique_Cardoso_0004_cloaked.png,0.246074,1,0.945044,35.6898
Fernando_Henrique_Cardoso,results/phase2/robustness/jpeg75/Fernando_Henrique_Cardoso_0005_cloaked.png,0.308235,0,0.927426,35.8198
Fernando_Henrique_Cardoso,results/phase2/robustness/jpeg75/Fernando_Henrique_Cardoso_0006_cloaked.png,0.143046,1,0.933761,36.8929
Fernando_Henrique_Cardoso,results/phase2/robustness/jpeg75/Fernando_Henrique_Cardoso_0007_cloaked.png,0.269946,1,0.929358,35.5909
George_Pataki,results/phase2/robustness/jpeg75/George_Pataki_0005_cloaked.png,0.050647,1,0.924167,35.9483
George_W_Bush,results/phase2/robustness/jpeg75/George_W_Bush_0439_cloaked.png,0.178903,1,0.932593,35.3801
Gerry_Adams,results/phase2/robustness/jpeg75/Gerry_Adams_0001_cloaked.png,0.071520,1,0.946277,36.0077
Gerry_Adams,results/phase2/robustness/jpeg75/Gerry_Adams_0004_cloaked.png,0.225552,1,0.950132,35.1754
Gil_de_Ferran,results/phase2/robustness/jpeg75/Gil_de_Ferran_0003_cloaked.png,0.274603,1,0.951644,36.7007
Gil_de_Ferran,results/phase2/robustness/jpeg75/Gil_de_Ferran_0004_cloaked.png,0.015941,1,0.943454,36.6812
Gil_de_Ferran,results/phase2/robustness/jpeg75/Gil_de_Ferran_0005_cloaked.png,0.175827,1,0.938618,36.6329
Gordon_Brown,results/phase2/robustness/jpeg75/Gordon_Brown_0004_cloaked.png,0.261399,1,0.955763,35.7344
Gray_Davis,results/phase2/robustness/jpeg75/Gray_Davis_0013_cloaked.png,-0.062174,1,0.917020,35.6823
Gray_Davis,results/phase2/robustness/jpeg75/Gray_Davis_0022_cloaked.png,0.329073,0,0.943001,36.4247
Guillermo_Coria,results/phase2/robustness/jpeg75/Guillermo_Coria_0014_cloaked.png,-0.008122,1,0.936858,35.5395
Guillermo_Coria,results/phase2/robustness/jpeg75/Guillermo_Coria_0017_cloaked.png,0.121732,1,0.946676,36.0046
Gwyneth_Paltrow,results/phase2/robustness/jpeg75/Gwyneth_Paltrow_0006_cloaked.png,0.027023,1,0.947942,34.4809
Harrison_Ford,results/phase2/robustness/jpeg75/Harrison_Ford_0001_cloaked.png,0.185389,1,0.944736,34.6018
